Make,Model,Model Year,Electric Range,State
HYUNDAI,KONA,2020,258,WA
JEEP,GRAND CHEROKEE,2022,25,WA
JEEP,GRAND CHEROKEE,2023,25,WA
TESLA,MODEL 3,2018,215,WA
BMW,I3,2018,97,WA
TESLA,MODEL 3,2020,266,WA
CHRYSLER,PACIFICA,2017,33,WA
TESLA,MODEL Y,2020,291,WA
TESLA,MODEL Y,2023,0,WA
FORD,FUSION,2016,19,WA
TOYOTA,PRIUS PRIME,2017,25,WA
TESLA,MODEL 3,2019,220,WA
AUDI,E-TRON,2019,204,WA
NISSAN,LEAF,2015,84,WA
KIA,NIRO,2019,26,WA
BMW,X5,2018,13,WA
TESLA,MODEL S,2018,249,WA
TESLA,MODEL 3,2020,322,WA
FORD,C-MAX,2016,19,WA
VOLKSWAGEN,E-GOLF,2019,125,WA
TESLA,MODEL S,2020,330,WA
AUDI,E-TRON,2021,222,WA
KIA,NIRO,2019,239,WA
TESLA,MODEL 3,2023,0,WA
FIAT,500,2016,84,WA
CHEVROLET,BOLT EV,2020,259,WA
VOLKSWAGEN,ID.4,2023,0,WA
CHEVROLET,BOLT EV,2022,0,WA
BMW,330E,2023,20,WA
NISSAN,LEAF,2019,150,WA
AUDI,A3,2017,16,WA
CHRYSLER,PACIFICA,2023,32,WA
CHRYSLER,PACIFICA,2018,33,WA
KIA,SORENTO,2022,32,WA
FORD,FUSION,2017,21,WA
KIA,NIRO,2023,33,WA
NISSAN,LEAF,2018,151,WA
HYUNDAI,TUCSON,2023,33,WA
TESLA,MODEL X,2016,200,WA
NISSAN,LEAF,2020,149,WA
CHEVROLET,BOLT EV,2017,238,WA
TESLA,MODEL X,2020,289,WA
CHRYSLER,PACIFICA,2020,32,WA
CHEVROLET,BOLT EV,2018,238,WA
TESLA,MODEL S,2015,208,WA
KIA,SPORTAGE,2023,34,WA
CHEVROLET,VOLT,2017,53,WA
BMW,X5,2022,30,WA
TESLA,MODEL X,2018,238,WA
MINI,HARDTOP,2021,110,WA
TESLA,MODEL S,2017,210,WA
JEEP,WRANGLER,2022,22,WA
KIA,NIRO,2020,239,WA
SMART,EQ FORTWO,2018,58,WA
BMW,X3,2021,17,WA
JEEP,WRANGLER,2021,21,WA
AUDI,Q5 E,2021,18,WA
TESLA,MODEL X,2019,289,WA
BMW,I3,2016,72,WA
RIVIAN,R1S,2023,0,WA
TESLA,MODEL S,2016,210,WA
NISSAN,LEAF,2016,84,WA
AUDI,A3,2018,16,WA
CHEVROLET,BOLT EV,2019,238,WA
CHEVROLET,VOLT,2015,38,WA
TOYOTA,PRIUS PRIME,2020,25,WA
AUDI,Q5,2022,22,WA
KIA,SOUL,2016,93,WA
TESLA,MODEL 3,2020,308,WA
BMW,X5,2016,14,WA
FIAT,500,2017,84,WA
FIAT,500,2015,87,WA
NISSAN,LEAF,2017,107,WA
BMW,I3,2017,97,WA
TESLA,MODEL Y,2022,0,WA
VOLVO,XC90,2021,18,WA
JEEP,WRANGLER,2023,21,WA
FORD,FUSION,2015,19,WA
TESLA,MODEL Y,2021,0,WA
TESLA,MODEL 3,2022,0,WA
PORSCHE,CAYENNE,2018,14,WA
CHRYSLER,PACIFICA,2021,32,WA
HYUNDAI,IONIQ 5,2023,0,WA
TESLA,MODEL X,2020,293,WA
NISSAN,LEAF,2023,0,WA
VOLVO,XC60,2023,35,WA
TESLA,MODEL X,2017,200,WA
HYUNDAI,TUCSON,2022,33,WA
JEEP,WRANGLER,2021,25,WA
HONDA,CLARITY,2018,47,WA
FORD,MUSTANG MACH-E,2023,0,WA
RIVIAN,R1T,2022,0,WA
MITSUBISHI,OUTLANDER,2023,38,WA
AUDI,Q5,2022,23,WA
TOYOTA,PRIUS PRIME,2018,25,WA
VOLVO,XC90,2016,13,WA
JEEP,WRANGLER,2022,21,WA
BMW,X5,2023,30,WA
FORD,TRANSIT,2022,0,WA
FORD,ESCAPE,2021,38,WA
BMW,I3,2017,81,WA
CHEVROLET,BOLT EV,2023,0,WA
VOLVO,XC60,2018,17,WA
BMW,I3,2020,153,WA
BMW,I3,2015,72,WA
TESLA,MODEL X,2022,0,WA
KIA,SOUL EV,2017,93,WA
FORD,ESCAPE,2022,38,WA
RIVIAN,R1T,2023,0,WA
BMW,IX,2023,0,WA
MITSUBISHI,OUTLANDER,2018,22,WA
SMART,FORTWO,2016,68,WA
NISSAN,LEAF,2020,215,WA
TESLA,MODEL 3,2021,0,WA
AUDI,A3,2016,16,WA
BMW,I3,2015,81,WA
VOLVO,XC60,2021,18,WA
FORD,MUSTANG MACH-E,2022,0,WA
VOLVO,XC90,2020,18,WA
FORD,F-150,2023,0,WA
BMW,740E,2018,14,WA
BMW,530E,2018,14,WA
TESLA,MODEL S,2019,270,WA
BMW,I3,2019,153,WA
KIA,NIRO,2023,0,WA
VOLVO,XC90,2022,35,WA
VOLVO,XC90,2019,17,WA
SUBARU,SOLTERRA,2023,0,WA
CHEVROLET,BOLT EUV,2023,0,WA
TOYOTA,RAV4 PRIME,2021,42,WA
AUDI,Q5 E,2023,23,WA
HYUNDAI,IONIQ 5,2022,0,WA
BMW,I4,2023,0,WA
NISSAN,LEAF,2022,0,WA
HYUNDAI,KONA ELECTRIC,2023,0,WA
KIA,NIRO,2021,26,WA
POLESTAR,PS2,2021,233,WA
TOYOTA,PRIUS PRIME,2022,25,WA
MERCEDES-BENZ,EQB-CLASS,2022,0,WA
POLESTAR,PS2,2023,0,WA
KIA,EV6,2023,0,WA
TOYOTA,RAV4 PRIME,2022,42,WA
TESLA,MODEL S,2022,0,WA
BMW,X3,2020,17,WA
TESLA,MODEL X,2023,0,WA
HYUNDAI,SANTA FE,2022,31,WA
PORSCHE,TAYCAN,2021,0,WA
CADILLAC,LYRIQ,2024,0,WA
MITSUBISHI,OUTLANDER,2019,22,WA
VOLKSWAGEN,ID.4,2022,0,WA
FORD,FUSION,2019,26,WA
MERCEDES-BENZ,EQS-CLASS SEDAN,2022,0,WA
PORSCHE,TAYCAN,2023,0,WA
JAGUAR,I-PACE,2019,234,WA
RIVIAN,R1S,2022,0,WA
FORD,MUSTANG MACH-E,2021,0,WA
AUDI,Q5 E,2020,20,WA
POLESTAR,PS2,2022,0,WA
BMW,I8,2017,14,WA
VOLVO,XC40,2022,0,WA
KIA,NIRO,2022,0,WA
CHEVROLET,BOLT EV,2021,0,WA
KIA,EV6,2022,0,WA
BMW,X5,2021,30,WA
HYUNDAI,KONA ELECTRIC,2021,0,WA
MINI,COUNTRYMAN,2019,12,WA
VOLVO,S60,2022,41,WA
CHRYSLER,PACIFICA,2022,32,WA
VOLKSWAGEN,E-GOLF,2016,83,WA
BMW,530E,2023,18,WA
VOLKSWAGEN,ID.4,2021,0,WA
LINCOLN,AVIATOR,2021,21,WA
TESLA,MODEL X,2021,0,WA
VOLVO,XC40,2023,0,WA
FORD,F-150,2022,0,WA
HYUNDAI,IONIQ,2022,29,WA
TESLA,MODEL S,2021,0,WA
BMW,X5,2017,14,WA
AUDI,E-TRON GT,2022,0,WA
TESLA,MODEL 3,2017,220,WA
FORD,C-MAX,2017,20,WA
MINI,COUNTRYMAN,2023,17,WA
MINI,HARDTOP,2022,0,WA
JEEP,WRANGLER,2024,21,WA
GENESIS,G80,2023,0,WA
TESLA,MODEL S,2023,0,WA
NISSAN,LEAF,2021,0,WA
BMW,I3,2021,0,WA
KIA,NIRO,2022,26,WA
VOLVO,XC60,2020,18,WA
VOLVO,XC60,2019,17,WA
MINI,COUNTRYMAN,2021,17,WA
TOYOTA,PRIUS PRIME,2019,25,WA
BMW,330E,2018,14,WA
JAGUAR,I-PACE,2020,234,WA
HYUNDAI,IONIQ 6,2023,0,WA
PORSCHE,TAYCAN,2021,203,WA
BMW,530E,2018,16,WA
BMW,IX,2022,0,WA
CHEVROLET,VOLT,2018,53,WA
BMW,330E,2021,20,WA
KIA,SORENTO,2023,32,WA
VOLVO,XC90,2017,14,WA
TOYOTA,PRIUS PRIME,2021,25,WA
NISSAN,ARIYA,2023,0,WA
BMW,530E,2021,21,WA
MERCEDES-BENZ,GLC-CLASS,2019,10,WA
HYUNDAI,IONIQ,2019,29,WA
VOLVO,C40,2023,0,WA
MERCEDES-BENZ,EQS-CLASS SUV,2023,0,WA
GENESIS,GV60,2023,0,WA
TOYOTA,RAV4 PRIME,2023,42,WA
AUDI,Q4,2022,0,WA
VOLVO,XC40,2021,0,WA
CADILLAC,ELR,2016,40,WA
PORSCHE,CAYENNE,2017,14,WA
AUDI,A7,2021,24,WA
AUDI,E-TRON SPORTBACK,2022,0,WA
PORSCHE,CAYENNE,2023,14,WA
